person,position,company,last_updated
DPyxvzTeGYmFO,Senior projectleider,Platform Talent voor Technologie,2021-06-14
kOaJPQRTSDT,"Music Therapist, MA NMT-F","Music therapist , MA NMT-F Zorggroep Sint Maarten",2021-06-14
kYSxvgClWKXf,Eigenaar,ConCetto Development,2021-06-14
aaupBwRuKGNLBFhsSyXZbCqp,Beleidsmedewerker Kwaliteitszorg,Saxion University of Applied Sciences,2021-06-14
QbPIItDSfVyLmW,Programma manager Business Angels Netwerk Oost-Nederland,Oost NL,2021-06-14
QdLXwDufaFIPZM,CTO,VyCAP,2021-06-14
PSKlQIdxtPbMpw,medewerker projectbeheer subsidies ,Innovencio,2021-06-14
wQfktsmyJPqBWH,Frontend Engineer Intern,Rasa,2021-06-14
SyJjCTkASVf,Co-Founder,StrollCast,2021-06-14
WdFHFacyiSO,Customer Support Professional,Exact,2021-06-14
jVHaWUZodLE,Associate Lector Customer Insights,Hogeschool van Arnhem en Nijmegen (HAN),2021-06-14
DxvlxRUsUfCuCkQl,Informant,Belastingdienst,2021-06-14
MBvEDSIk,Senior Researcher,Universiteit Twente,2021-06-14
NvpyrifKeX,Starting Assistant Professor,Ritsumeikan University,2021-06-14
mFqFoJnbhAVjnzKnX,Field Sales Account Manager,Vakmedianet,2021-06-14
FwwJtXYCfaG,Leerlijnvoorzitter Bedrijfskunde,Saxion University of Applied Sciences,2021-06-14
pNojqtCJGK,Projektmanagement / Trade Marketing,goodforgrowth GmbH,2021-06-14
GWMTYFUmHtnwyrff,Visiting Lecturer,ESCP Business School,2021-06-14
wpTWbfsLbjT,Research Manager,Lab of Business Disruption Research at UTU,2021-06-14
khiYZLxZNBcmAeE,Camera Journalist,Saxion,2021-06-14
CfWMlKymrB,Assistant Professor,University of Twente,2021-06-14
MJiWmhUenRzTcnxaWu,Postdoctoral Fellowship,Norwegian University of Science and Technology (NTNU),2021-06-14
tSTObdTynytt,Professor,Universität Liechtenstein,2021-06-14
FURfjklXuVUo,CTO,Nerds & Company,2021-06-14
bzmioYAqTdcexdf,Technical Advisor in digital services development,AMBERO Consulting GmbH,2021-06-14
iZFldgzrUgS,Full Professor,University of Agder (UiA),2021-06-14
TLaJmTCEUIRZnj,Associate Professor,Norwegian University of Science and Technology (NTNU),2021-06-14
pHVscqzTTozZQvJYyw,Professor,The University of Texas at San Antonio,2021-06-14
pWIXuVoiDfHMPCzahVqadKhm,Data Science Consultant,Get There,2021-06-14
